"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Airline","0","Resilience","1","0","Network failure is handled gracefully","0"
"0","E-commerce","0","Browser dialogs","1","0","Tester accepts a native alert","0"
"0","E-commerce","0","Checkout","1","0","Standard user completes the full checkout flow","0"
"0","Airline","0","Navigation","1","0","External link opens in a new tab","0"
"0","Airline","0","Reservations","1","0","Pick a specific airline from a dynamic table","0"
"0","E-commerce","0","Authentication","1","0","Locked user is rejected","0"
"0","E-commerce","0","Authentication","1","0","Standard user can log in","0"
"0","E-commerce","0","Cart","1","0","User adds Sauce Labs Bolt T-Shirt","0"
"0","E-commerce","0","Cart","1","0","User adds Sauce Labs Bike Light","0"
"0","E-commerce","0","Navigation","1","0","External link opens in a new tab","0"
"0","E-commerce","0","Cart","1","0","User adds Sauce Labs Backpack","0"
