"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4520","locked user sees an error and cannot log in","ecommerce","2026-05-19","passed","2026-05-19","Authentication — locked user @smoke","ecommerce/smoke/login_locked_user.spec.ts","",""
"","844","mocks a 500 from /reserve.php and shows a friendly error","airline","2026-05-19","passed","2026-05-19","Airline scenarios @AirlineFunc","airline/airline-interview.spec.ts","",""
"","957","adds ""Sauce Labs Backpack"" to the cart","ecommerce","2026-05-19","passed","2026-05-19","Add to cart — data-driven @e2e","ecommerce/e2e/add_to_cart_data_driven.spec.ts","",""
"","1084","standard user can log in and reach the inventory","ecommerce","2026-05-19","passed","2026-05-19","Authentication — standard user @smoke","ecommerce/smoke/login_standard_user.spec.ts","",""
"","1447","opens the ""Check out our destination of the week"" link in a new tab","airline","2026-05-19","passed","2026-05-19","Airline scenarios @AirlineFunc","airline/airline-interview.spec.ts","",""
"","1498","opens the Twitter footer link in a new tab","ecommerce","2026-05-19","passed","2026-05-19","Multi-tab navigation @functional","ecommerce/functional/new_tab.spec.ts","",""
"","2606","reserves a flight by airline name using a dynamic XPath","airline","2026-05-19","passed","2026-05-19","Airline scenarios @AirlineFunc","airline/airline-interview.spec.ts","",""
"","1087","standard user can complete a purchase","ecommerce","2026-05-19","passed","2026-05-19","Checkout flow @e2e","ecommerce/e2e/checkout.spec.ts","",""
"","871","adds ""Sauce Labs Bolt T-Shirt"" to the cart","ecommerce","2026-05-19","passed","2026-05-19","Add to cart — data-driven @e2e","ecommerce/e2e/add_to_cart_data_driven.spec.ts","",""
"","944","adds ""Sauce Labs Bike Light"" to the cart","ecommerce","2026-05-19","passed","2026-05-19","Add to cart — data-driven @e2e","ecommerce/e2e/add_to_cart_data_driven.spec.ts","",""
"","726","handles a native browser alert","ecommerce","2026-05-19","passed","2026-05-19","Native dialogs @functional","ecommerce/functional/alerts.spec.ts","",""
